종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"015360","예스코홀딩스","KOSPI","서비스업","49850","-650","-1.29","299100000000"
"007310","오뚜기","KOSPI","음식료품","418500","11500","2.83","1677276855000"
"002630","오리엔트바이오","KOSPI","의약품","457","6","1.33","54192433285"
"271560","오리온","KOSPI","음식료품","100400","1600","1.62","3969427652800"
"001800","오리온홀딩스","KOSPI","기타금융","16510","-350","-2.08","1034275917220"
"011690","와이투솔루션","KOSPI","전기전자","2600","30","1.17","95093424400"
"316140","우리금융지주","KOSPI","기타금융","15810","60","0.38","11740371630810"
"006980","우성","KOSPI","음식료품","16720","50","0.30","51664800000"
"017370","우신시스템","KOSPI","기계","7820","-70","-0.89","143215902280"
"105840","우진","KOSPI","의료정밀","7820","60","0.77","158930661480"
"010400","우진아이엔에스","KOSPI","건설업","3415","145","4.43","26029130000"
"049800","우진플라임","KOSPI","기계","2210","0","0.00","44200000000"
"016880","웅진","KOSPI","서비스업","922","20","2.22","73692767760"
"095720","웅진씽크빅","KOSPI","서비스업","1782","4","0.22","205831665270"
"005820","원림","KOSPI","섬유의복","15470","70","0.45","35549595900"
"010600","웰바이오텍","KOSPI","유통업","545","0","0.00","49553256815"
"008600","윌비스","KOSPI","유통업","439","2","0.46","29516621121"
"033270","유나이티드제약","KOSPI","의약품","20800","200","0.97","339743497600"
"014830","유니드","KOSPI","화학","68800","-1000","-1.43","465610880000"
"446070","유니드비티플러스","KOSPI","종이목재","4520","20","0.44","47962691800"
"000910","유니온","KOSPI","비금속광물","4375","-255","-5.51","68300833125"
"047400","유니온머티리얼","KOSPI","비금속광물","2320","-90","-3.73","97440000000"
"011330","유니켐","KOSPI","기타제조업","1505","-18","-1.18","145980736335"
"077500","유니퀘스트","KOSPI","유통업","4975","75","1.53","108425224625"
"002920","유성기업","KOSPI","운수장비","1989","-7","-0.35","51609577500"
"000700","유수홀딩스","KOSPI","서비스업","5130","0","0.00","133594495560"
"003470","유안타증권","KOSPI","증권","2905","35","1.22","579828053280"
"003475","유안타증권우","KOSPI","증권","2930","10","0.34","37832781160"
"072130","유엔젤","KOSPI","서비스업","5050","195","4.02","66637042700"
"000220","유유제약","KOSPI","의약품","4430","45","1.03","75453314930"
"000225","유유제약1우","KOSPI","의약품","5090","40","0.79","11538673700"
"000227","유유제약2우B","KOSPI","의약품","10260","120","1.18","3340245600"
"001200","유진투자증권","KOSPI","증권","3845","60","1.59","372451377210"
"000100","유한양행","KOSPI","의약품","140800","6000","4.45","11293436211200"
"000105","유한양행우","KOSPI","의약품","128200","6200","5.08","151396508000"
"003460","유화증권","KOSPI","증권","2245","0","0.00","127296921675"
"003465","유화증권우","KOSPI","증권","2230","0","0.00","38972427750"
"008730","율촌화학","KOSPI","화학","29950","450","1.53","742760000000"
"008250","이건산업","KOSPI","종이목재","5020","95","1.93","54982227700"
"025820","이구산업","KOSPI","철강금속","4435","115","2.66","148315270000"
"214320","이노션","KOSPI","서비스업","20450","250","1.24","818000000000"
"088260","이리츠코크렙","KOSPI","서비스업","4370","-50","-1.13","276802748300"
"139480","이마트","KOSPI","유통업","64300","400","0.63","1792415161700"
"457190","이수스페셜티케미컬","KOSPI","화학","41850","2150","5.42","1264216518000"
"007660","이수페타시스","KOSPI","전기전자","34500","-500","-1.43","2182001455500"
"005950","이수화학","KOSPI","화학","7800","110","1.43","177237364200"
"015020","이스타코","KOSPI","서비스업","723","-23","-3.08","30981706800"
"093230","이아이디","KOSPI","유통업","1392","0","0.00","354103029120"
